listing_id,brand,brand_group,brand_country,model,year,engine_volume_l,power_hp,fuel_type,transmission,drive,mileage_km,body_type,trim,city,price_rub,price_type,condition,is_damaged,labels,attributes_raw,source_url,search_url,collected_at_utc,model_rank,model_id
327415747,Volkswagen,Europe,Germany,Tiguan,2021,2.0,180,бензин,робот,4WD,70000,SUV или внедорожник,2.0 TSI DSG 4Motion Exclusive,Москва,2800000,asking_price,used,0,,2.0 л (180 л.с.) | бензин | робот | 4WD | 70 000 км,https://auto.drom.ru/moscow/volkswagen/tiguan/327415747.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
312658259,Volkswagen,Europe,Germany,Tiguan,2021,2.0,180,бензин,робот,4WD,88880,SUV или внедорожник,2.0 TSI DSG 4Motion Status Plus,Санкт-Петербург,2990000,asking_price,used,0,,2.0 л (180 л.с.) | бензин | робот | 4WD | 88 880 км,https://auto.drom.ru/spb/volkswagen/tiguan/312658259.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
758058921,Volkswagen,Europe,Germany,Tiguan,2012,2.0,170,бензин,АКПП,4WD,226000,SUV или внедорожник,2.0 TSI AT Sport&Style,Москва,1350000,asking_price,used,0,от собственника,2.0 л (170 л.с.) | бензин | АКПП | 4WD | 226 000 км,https://auto.drom.ru/moscow/volkswagen/tiguan/758058921.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
781462225,Volkswagen,Europe,Germany,Tiguan,2010,2.0,170,бензин,АКПП,4WD,227000,SUV или внедорожник,2.0 TSI AT Track&Field,Санкт-Петербург,849000,asking_price,used,0,,2.0 л (170 л.с.) | бензин | АКПП | 4WD | 227 000 км,https://auto.drom.ru/spb/volkswagen/tiguan/781462225.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
255221577,Volkswagen,Europe,Germany,Tiguan,2020,2.0,150,дизель,робот,4WD,198000,SUV или внедорожник,,Москва,2450000,asking_price,used,0,,2.0 л (150 л.с.) | дизель | робот | 4WD | 198 000 км,https://auto.drom.ru/moscow/volkswagen/tiguan/255221577.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
947881391,Volkswagen,Europe,Germany,Tiguan,2019,1.4,150,бензин,робот,передний,143000,SUV или внедорожник,,Санкт-Петербург,1795000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | передний | 143 000 км,https://auto.drom.ru/spb/volkswagen/tiguan/947881391.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
405774457,Volkswagen,Europe,Germany,Tiguan,2018,1.4,150,бензин,робот,передний,112871,SUV или внедорожник,,Москва,2344000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | передний | 112 871 км,https://auto.drom.ru/moscow/volkswagen/tiguan/405774457.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
855075360,Volkswagen,Europe,Germany,Tiguan,2020,2.0,180,бензин,робот,4WD,170000,SUV или внедорожник,2.0 TSI DSG 4Motion Offroad,Санкт-Петербург,2299000,asking_price,used,0,,2.0 л (180 л.с.) | бензин | робот | 4WD | 170 000 км,https://auto.drom.ru/spb/volkswagen/tiguan/855075360.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
933457312,Volkswagen,Europe,Germany,Tiguan,2021,1.4,150,бензин,робот,передний,73888,SUV или внедорожник,,Москва,2490000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | передний | 73 888 км,https://auto.drom.ru/moscow/volkswagen/tiguan/933457312.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
681652114,Volkswagen,Europe,Germany,Tiguan,2021,2.0,180,бензин,робот,4WD,108611,SUV или внедорожник,2.0 TSI DSG 4Motion R-Line,Санкт-Петербург,2950000,asking_price,used,0,,2.0 л (180 л.с.) | бензин | робот | 4WD | 108 611 км,https://auto.drom.ru/spb/volkswagen/tiguan/681652114.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
917474548,Volkswagen,Europe,Germany,Tiguan,2017,2.0,150,дизель,робот,4WD,70000,SUV или внедорожник,2.0 TDI DSG 4Motion Highline,Москва,2900000,asking_price,used,0,,2.0 л (150 л.с.) | дизель | робот | 4WD | 70 000 км,https://auto.drom.ru/moscow/volkswagen/tiguan/917474548.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
486281416,Volkswagen,Europe,Germany,Tiguan,2019,1.4,150,бензин,робот,передний,140000,SUV или внедорожник,1.4 TSI DSG Comfortline,Санкт-Петербург,1949000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | передний | 140 000 км,https://auto.drom.ru/spb/volkswagen/tiguan/486281416.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
729597821,Volkswagen,Europe,Germany,Tiguan,2021,1.4,150,бензин,робот,4WD,137000,SUV или внедорожник,,Москва,1850000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | 4WD | 137 000 км,https://auto.drom.ru/moscow/volkswagen/tiguan/729597821.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
856475052,Volkswagen,Europe,Germany,Tiguan,2018,1.4,150,бензин,робот,передний,171000,SUV или внедорожник,,Санкт-Петербург,1980000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | передний | 171 000 км,https://auto.drom.ru/spb/volkswagen/tiguan/856475052.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
591255201,Volkswagen,Europe,Germany,Tiguan,2012,2.0,170,бензин,АКПП,4WD,247000,SUV или внедорожник,2.0 TSI AT Sport&Style,Москва,968000,asking_price,used,0,,2.0 л (170 л.с.) | бензин | АКПП | 4WD | 247 000 км,https://auto.drom.ru/moscow/volkswagen/tiguan/591255201.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
159495407,Volkswagen,Europe,Germany,Tiguan,2019,1.4,150,бензин,робот,передний,120538,SUV или внедорожник,1.4 TSI DSG Connect,Санкт-Петербург,1999000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | передний | 120 538 км,https://auto.drom.ru/spb/volkswagen/tiguan/159495407.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
405637212,Volkswagen,Europe,Germany,Tiguan,2020,2.0,180,бензин,робот,4WD,103000,SUV или внедорожник,2.0 TSI DSG 4Motion Sportline,Москва,3700000,asking_price,used,0,,2.0 л (180 л.с.) | бензин | робот | 4WD | 103 000 км,https://auto.drom.ru/moscow/volkswagen/tiguan/405637212.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
355382104,Volkswagen,Europe,Germany,Tiguan,2015,1.4,150,бензин,робот,передний,191208,SUV или внедорожник,1.4 TSI BlueMotion DSG Club,Санкт-Петербург,1199000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | передний | 191 208 км,https://auto.drom.ru/spb/volkswagen/tiguan/355382104.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
232935872,Volkswagen,Europe,Germany,Tiguan,2019,1.4,150,бензин,робот,4WD,120864,SUV или внедорожник,1.4 TSI DSG 4Motion Offroad,Москва,2350000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | робот | 4WD | 120 864 км,https://auto.drom.ru/moscow/volkswagen/tiguan/232935872.html,https://auto.drom.ru/moscow/volkswagen/tiguan/used/,2026-09-18T08:36:30.751519+00:00,1,3711
516922213,Volkswagen,Europe,Germany,Tiguan,2011,1.4,150,бензин,механика,4WD,271540,SUV или внедорожник,,Санкт-Петербург,949000,asking_price,used,0,,1.4 л (150 л.с.) | бензин | механика | 4WD | 271 540 км,https://auto.drom.ru/spb/volkswagen/tiguan/516922213.html,https://auto.drom.ru/spb/volkswagen/tiguan/used/,2026-09-18T08:36:32.512797+00:00,1,3711
